Ticker,Price Change (%),RS Score,Color
NCLm,7.432432432432434,80,Green
NDRm,-11.764705882352933,19,Red
NEP,-27.777777777777768,5,Red
NER,11.403508771929815,86,Green
NETBAYm,-12.28070175438597,18,Red
NEW,99.15611814345992,98,Green
NEWS_mf,-45.45454545454546,2,Red
NEWSm,0.0,54,Red
NEX,-5.670103092783496,33,Red
NFC,-5.454545454545457,34,Red
NNCL,0.990099009900991,59,Red
NOBLE,19.61206896551724,93,Green
NOK,-7.964601769911495,27,Red
NOVA,-18.840579710144933,10,Red
NPKm,-0.6451612903225823,51,Red
NRF,7.377049180327866,80,Green
NSL,-3.4188034188034067,40,Red
NTV,5.96026490066226,77,Yellow
NV,-16.33986928104575,12,Red
NVD,-0.990099009900991,49,Red
NWR,0.0,54,Red
NYT,-2.7932960893854775,42,Red
OCC,-18.699186991869922,10,Red
OGC,0.8064516129032251,58,Red
OHTL,7.692307692307687,81,Green
ONEE,-20.499999999999996,8,Red
OR,-5.742574257425737,33,Red
ORI,18.627450980392158,92,Green
OR_f,-12.727272727272732,17,Red
OSP,11.881188118811892,87,Green
PACE,-40.0,2,Red
PACOm,-4.2857142857142705,38,Red
PAF,-19.047619047619037,9,Red
PAP,-0.5347593582887722,52,Red
PATO,0.9708737864077666,59,Red
PB,1.4705882352941124,61,Yellow
PCSGH,5.967078189300401,77,Yellow
PDGm,-0.5747126436781658,52,Red
PDJ,4.166666666666652,72,Yellow
PEACE,19.266055045871553,92,Green
PEERm,-2.8169014084506894,42,Red
PERM,-15.037593984962417,14,Red
PF,2.499999999999991,65,Yellow
PG,7.7464788732394485,81,Green
PHOLm,-5.696202531645578,33,Red
PICOm,7.429718875501989,80,Green
PIMOm,-21.111111111111114,8,Red
PIN,-1.1560693641618491,48,Red
PJW,-21.176470588235297,8,Red
PK,-4.687499999999989,36,Red
PL,0.0,54,Red
PLANB,7.801418439716312,81,Green
PLANETm,-19.270833333333325,9,Red
PLAT,14.375000000000004,90,Green
PLE,-6.94444444444443,30,Red
PLUS,-24.32432432432432,6,Red
PM,6.077348066298338,78,Yellow
PMTA,1.9607843137255054,64,Yellow
POLAR,-35.71428571428571,3,Red
POPFu,1.769911507272126,63,Yellow
PORT,6.930693069306937,79,Yellow
PPFu,1.7857142857143016,63,Yellow
PPMm,-8.547008547008538,26,Red
PPP,-5.454545454545457,34,Red
PPPM,-29.41176470588236,4,Red
PPSm,-9.999999999999986,22,Red
PR9,-2.3121387283237094,44,Red
PRAKIT,-4.580152671755721,36,Red
PRAPATm,21.323529411764696,94,Green
PREB,3.0120481927710774,68,Yellow
PRECHA,-15.436241610738255,13,Red
PRG,4.553179254415185,73,Yellow
PRIME,-4.964539007092183,35,Red
PRIN,10.000000000000009,84,Green
PRINC,-8.661417322834641,25,Red
PRM,20.168067226890752,93,Green
PRO,52.17391304347825,97,Green
PROENm,-26.582278481012665,5,Red
PROSPECTu,2.6315789470845896,66,Yellow
PROSm,-20.833333333333325,8,Red
PROUD,-6.091370558375631,32,Red
PSGm,-2.985074626865669,42,Red
PSH,9.999999999999986,84,Green
